三生三:0.0892359760754053	生三世:0.0892359760754053	三世枕:0.03978682034066078	
1茶匙:0.049563607993359286	糖:0.029138132202378316	大火烧:0.023573866182073043	
西格绍:0.10104952768034482	格绍尔:0.10104952768034482	P36:0.10104952768034482	
歼20:0.08316052437757356	飞行员:0.032157903408754844	的歼2:0.024340309129415778	
应采儿:0.08536385683992721	刘芸的:0.0512207999471957	爱你:0.03414927150082994	
同煤集:0.1534448885581423	煤集团:0.1534448885581423	三界:0.11508832737468055	
爽妹子:0.049586358017310664	的学生:0.04853316193729479	最小的:0.04405573666362286	
四大女:0.036920986712726235	大女配:0.036920986712726235	均不输:0.036920986712726235	
主持人:0.03362873880393619	主持界:0.030128420061150782	异口同:0.022596315045863086	
手机号:0.04130604912652746	陌生人:0.03827276465277029	个功能:0.030998465194929888	
X11:0.1085505596551404	GTX:0.10146830061181512	TX1:0.10146830061181512	
个孩子:0.07490956019010622	两个孩:0.05982496673152771	孩子的:0.035646659883751354	
上图:0.045229917740316705	北图:0.04326610158121529	女子图:0.016769174465124534	
母子连:0.09812244726598797	子连心:0.09812244726598797	照片告:0.06541496484399198	
赛冠军:0.09159167298202733	LPL:0.08130267998967962	Duk:0.07947240836262298	
俄罗斯:0.07810798941342362	防空导:0.0586652629993023	空导弹:0.05634266868730411	
安东尼:0.077429609994733	恩尼斯:0.051898192229923715	个赛季:0.047073918744546146	
高畑勋:0.19684149690942448	宫崎骏:0.14059929361870366	畑勋的:0.08436330493608124	
76人:0.1049172804923842	NBA:0.05108832451582147	主教练:0.04371641659138784	
吴芊盈:0.14641616679882682	美笑容:0.04880331739690946	练习生:0.03541593062856111	
多人游:0.05957857050866067	人游戏:0.05433954291131666	的多人:0.04780276549306349	
鱼肝油:0.10648159101245613	维生素:0.07267966995679434	生素A:0.05622503652659125	
连衣裙:0.14441623645999982	18夏:0.05293603178236022	00购:0.05293603178236022	
螨虫在:0.04769306395047817	在头上:0.04081754599043695	洗发水:0.04081754599043695	
帮跳厂:0.03182500807202004	跳厂牌:0.03182500807202004	热血街:0.02903671770033177	
019:0.08481499241101255	off:0.0710335947082978	ffe:0.0710335947082978	
童连雨:0.09298918097669125	的坚持:0.04949440517102006	藏骨人:0.04649148318429641	
中艺纵:0.021825703641658735	艺纵横:0.021825703641658735	潜意识:0.021825703641658735	
自由职:0.03201766092307113	由职业:0.03201766092307113	智能翻:0.014231452545386818	
张可盈:0.17858297831626008	伤的菜:0.07143070548326466	的菜单:0.07143070548326466	
战狼2:0.07125558963825486	来的我:0.06281333016612749	的我们:0.05849349232471162	
春不留:0.15993293941289508	不留白:0.15993293941289508	青春不:0.1420947967211849	
杨超越:0.04574801990272812	赵丽颖:0.018695381155603617	讨厌她:0.015760246137598678	
刮痧板:0.047721975587784	按摩霜:0.04242091487982987	面部刮:0.021210457439914936	
食材1:0.05971616921773883	鸡粉:0.052102203480126515	入适量:0.05199106702628182	
拼多多:0.024131912059036902	招股书:0.01859699554696573	今日头:0.016532867972916174	
别利察:0.12393792930683376	NBA:0.05040278297829639	在NB:0.049650745138214	
张艺兴:0.06892781154481675	罗志祥:0.04758948658633446	男人帮:0.0434814352825005	
00克:0.036435062368283345	的卤水:0.03585983967920849	30克:0.032706513103701026	
张韶涵:0.09739366983188599	尖叫卡:0.057118463032598356	叫卡拉:0.057118463032598356	
张学友:0.12721998100846402	学友和:0.10707993274045847	合作过:0.10391168440248015	
拜托了:0.06362754317290954	托了冰:0.06362754317290954	了冰箱:0.06362754317290954	
星露谷:0.13810102116313794	露谷物:0.10357887317640266	谷物语:0.10357887317640266	
六代机:0.07993228936190622	无人机:0.0605868458845698	代机的:0.029973054858690226	
步步惊:0.04886492912308088	步惊心:0.04886492912308088	汪苏泷:0.04583273472586366	
崔永元:0.12606047421571293	张国立:0.08824398838927441	冯小刚:0.06797231643486755	
洗净:0.10532812173121704	高血脂:0.07523583437824354	组成:0.054837701860477414	
白领们:0.0331860072455745	白领一:0.0331860072455745	领一族:0.0331860072455745	
这个术:0.0663160830182632	这个忍:0.03789668018417852	个忍术:0.03789668018417852	
张庆鹏:0.07625324136764028	高速男:0.057186823721681004	速男篮:0.057186823721681004	
小飞象:0.17104465869287397	士尼新:0.11403184399794879	尼新片:0.11403184399794879	
双目异:0.07987635788902042	目异瞳:0.07987635788902042	锦衣之:0.047927057655031934	
超新星:0.061348952258367416	了凯多:0.057541056383291066	霍金斯:0.05378685494731759	
蛋黄酱:0.05539681738891192	三明治:0.04616493473424624	牛油果:0.04616493473424624	
斯·迪:0.12512491945363238	·迪金:0.12512491945363238	迪金森:0.12512491945363238	
电子科:0.08606245340150233	西安电:0.06576298289750362	安电子:0.06576298289750362	
花式英:0.05918792752937295	式英语:0.05918792752937295	往的生:0.04725661301742306	
伊戈达:0.11877373757996061	戈达拉:0.11877373757996061	勇士队:0.09241122242353798	
奥特曼:0.10100408457045407	的实力:0.059821203698545454	贝利亚:0.05683880566816936	
布鲁克:0.057677777761456356	鲁克林:0.057677777761456356	维多利:0.051244678778679505	
诸葛亮:0.18682976326286632	司马懿:0.05515200355004138	黄月英:0.049163764666617954	
动物世:0.04136126373570608	物世界:0.039689695392811336	李易峰:0.03528658548602957	
加拿大:0.10766173971436672	特朗普:0.08511052951363479	特鲁多:0.0639607465489612	
归去来:0.0420483695603688	情还没:0.034049837771255184	还没铺:0.034049837771255184	
的空间:0.034340276725948714	的小户:0.027617718389388216	户型北:0.027617718389388216	
万嘉玲:0.1965121226802081	宋乔植:0.11053923424663552	晚的剧:0.07369282283109034	
用户的:0.03705646482398168	苹果和:0.028383544752515647	Fac:0.026134024332731553	
盒子枪:0.08732767299902863	驳壳枪:0.07277306083252386	日本陆:0.07277306083252386	
蒋雪鸣:0.10132307203705727	全职高:0.0642035475529022	职高手:0.0642035475529022	
小狗的:0.052152991161959025	了直播:0.03476451770257374	了一套:0.029638787348469715	
的蔬菜:0.018722285237188715	鲜火锅:0.018469815268510752	风味别:0.018469815268510752	
精灵梦:0.06319634975285526	灵梦叶:0.06319634975285526	梦叶罗:0.06319634975285526	
潘玮柏:0.12596660938010928	hit:0.08058210882782908	ito:0.07780918027054984	
吃甜食:0.014337246793878985	卫生组:0.013843884661194546	生组织:0.013843884661194546	
秘密姐:0.19666748788266866	密姐姐:0.19666748788266866	MAM:0.07866450930982809	
郭敬明:0.08854018151238423	爵迹2:0.08685830599117535	敬明导:0.07652046951587244	
低俗内:0.028156916074052095	俗内容:0.028156916074052095	动漫作:0.028156916074052095	
对心脏:0.08334093109421274	胆固醇:0.07110075041064348	脂肪酸:0.05617304871590156	
CKD:0.06423418930529176	高血压:0.06317169815909147	mmH:0.06021955247371103	
背诵法:0.027039759836234953	有利于:0.020117793537864477	读课文:0.018028578093522776	
装修师:0.04898269369432788	修师傅:0.04898269369432788	外阳台:0.04191753162385768	
IMA:0.1347327035737931	MAX:0.11486752050676143	X3D:0.05052476384017241	
恶魔战:0.14204729730563603	魔战士:0.14204729730563603	小野义:0.07102675595686722	
西门子:0.11803405161333268	燃气轮:0.10032863314092785	气轮机:0.10032863314092785	
现代和:0.024808715528901387	代和复:0.024808715528901387	和复古:0.024808715528901387	
人造肉:0.019619517766718858	3D打:0.018339464420421385	D打印:0.018339464420421385	
胡萝卜:0.06637293340441731	气血不:0.05467612204991844	血不足:0.05110884002878282	
默克尔:0.05568910316996125	特朗普:0.04446309420927426	德国总:0.033409733137117696	
阚清子:0.12473391828802281	张雪迎:0.11009240924125532	谢依霖:0.07621824651017044	
奉太奎:0.22516768062203282	超人回:0.09006831517043282	太奎宣:0.09006831517043282	
秦海璐:0.17091312161010655	萌萌哒:0.16005920020117945	不老女:0.13364514715656922	
W系列:0.05357613641649771	三星W:0.04286215205481785	翻盖机:0.04286215205481785	
培训机:0.048434255171487625	训机构:0.048434255171487625	功利化:0.04088590667951959	
产后抑:0.09482845017388619	后抑郁:0.09482845017388619	抑郁的:0.02885982237588009	
娄艺潇:0.2132443421087578	艺潇在:0.07714814493381308	潇在微:0.07714814493381308	
RNG:0.1394334525587753	总教练:0.06277375640216255	风哥的:0.04708187095364652	
Sep:0.06243195295674933	epa:0.058358650480694725	par:0.05546859638084412	
便秘的:0.025914915770420537	开塞露:0.021595763142017114	性泻药:0.01727661051361369	
俄罗斯:0.03924202943106901	这台战:0.03728764859053314	苏35:0.03485485794188417	
脂牛奶:0.04058760549079533	的酸奶:0.0355102706743844	蛋白质:0.020430697092962816	
华南农:0.1340055944262777	南农业:0.1340055944262777	农业大:0.11905926177186361	
凯沙夫:0.033204651069869764	盖厕所:0.027667435254175594	印度女:0.022136434046579844	
人民网:0.08818279059296695	浮夸自:0.04716887546702443	夸自大:0.04716887546702443	
的片酬:0.03257451327796959	收视冠:0.02719512503869551	视冠军:0.02719512503869551	
宋丹丹:0.0968209862195639	碗米饭:0.05521460917862246	王珞丹:0.05115995809754082	
古文化:0.06895729146009263	的山神:0.03447864573004632	孟金福:0.03447864573004632	
破冰行:0.10077608492401426	冰行动:0.10077608492401426	国之最:0.03918931866865034	
土豆片:0.042302179255466754	土豆的:0.030165707709741314	其含量:0.030165707709741314	
孟美岐:0.036598618128751446	101:0.03421455320547456	杨超越:0.034184738846872946	
马网络:0.046329903373737436	斑马网:0.043307160992791076	联网汽:0.021620621574410803	
以免出:0.027294558768270263	健品或:0.027294558768270263	品或药:0.027294558768270263	
刘亚仁:0.1610018520058237	第五眼:0.06440198372394916	五眼男:0.06440198372394916	
张国荣:0.07964303509680146	部作品:0.07806499945181708	这部作:0.07596228221787357	
左祭司:0.17262938375797163	江奇霖:0.14717665980797134	质感写:0.11508832737468055	
防弹衣:0.11012392366738302	弹衣的:0.05506486640518667	mm子:0.02945102777842276	
陈光标:0.07578714576025862	就是无:0.07578714576025862	是无私:0.07578714576025862	
叶佳瑶:0.12981073395984272	种丹妮:0.12134137878167942	金舌头:0.0811317087249017	
练习生:0.03291746818513531	富贵代:0.02592113037851896	贵代表:0.02592113037851896	
满脸油:0.05918792752937295	张雨绮:0.04734909910187867	大油脸:0.0355102706743844	
少林寺:0.10187607055743497	张鑫炎:0.06791945190765612	功夫片:0.03395661864977885	
湿气重:0.07643670346655199	玉米须:0.06541496484399198	荷叶茶:0.06114703911604546	
上榜理:0.05923764439416032	榜理由:0.05923764439416032	理由「:0.026927896890463352	
地下城:0.10673138416103964	摇曳庄:0.06524717042533458	曳庄的:0.06524717042533458	
全能舰:0.07866450930982809	电磁轨:0.03146456080231155	磁轨道:0.03146456080231155	
毛卫宁:0.03595278596705352	回归质:0.032968495962129724	归质朴:0.032968495962129724	
吴镇宇:0.09859672761026612	有限公:0.0733992043495717	限公司:0.0733992043495717	
乔治娜:0.03934532547339691	夏奇拉:0.039083670330977156	·贝克:0.02248138337251529	
张晞彤:0.14309756607426938	小张晞:0.10221165939474977	张丹峰:0.07643670346655199	
个灵饰:0.06742849786788077	召唤兽:0.05619248642593345	一个灵:0.033714248933940386	
车队1:0.04486947047060822	环湖赛:0.037393296928206324	爬坡点:0.037393296928206324	
电影节:0.048981469981886176	戛纳最:0.042563850866093586	出丑:0.042563850866093586	
AFE:0.0472434507642055	TAF:0.04416110501236724	澳大利:0.04393894592078286	
的造型:0.029887855761471037	火箭少:0.02812080045467242	箭少女:0.02812080045467242	
娱乐圈:0.044203674452783635	夏雨就:0.03713849799617101	金童玉:0.03471543851011663	
iPh:0.03365458371920098	Pho:0.032958056925190965	hon:0.03173722567447255	
三伏天:0.05979742174044812	40天:0.031456509292550464	超长待:0.02243473523530411	
眠时间:0.031956095589717466	睡眠时:0.030373556509160217	的睡眠:0.022795592420641057	
雷佳音:0.103832886920686	白玉兰:0.09369566729077496	最佳女:0.07787587226894882	
陈冠希:0.06314538430471349	张柏芝:0.06255839676167292	秦舒培:0.04735613365703996	
罗嘉良:0.0447513929167382	TVB:0.03842255024225128	创世纪:0.03660340998196869	
了你我:0.0504992815547681	你我愿:0.0504992815547681	愿意热:0.0504992815547681	
秋瓷炫:0.10797454076096684	于晓光:0.06930530951360428	晓光结:0.04620561121176899	
的肌肉:0.18413257268576058	的足球:0.11697767100582955	运动员:0.09979730344507041	
折叠手:0.07159849990192206	叠手机:0.07159849990192206	智能手:0.029028361498306055	
神盾局:0.05460172701673975	钢铁侠:0.03984853761935496	超级英:0.034156547269473675	
自闭症:0.13648499242863685	闭症患:0.04655362926528063	症患者:0.039689695392811336	
中餐厅:0.07339919188254182	餐厅2:0.07129310337143732	美图T:0.05349534651121822	
陈展鹏:0.08702677113789445	TVB:0.04796309015908625	坚离地:0.023273707328591107	
陈冠希:0.057713835608769866	�:0.04328973356382013	Ala:0.04013393909961051	
陈妍希:0.13115126118198192	母亲节:0.09721415237694707	星星的:0.05519266755097358	
权游:0.1250441295483529	小玫瑰:0.1250441295483529	莉·多:0.1250441295483529	
楚乔传:0.06412900747526742	扶摇:0.03768890007167773	女主剧:0.025964632635207915	
的玉米:0.15742777503751015	转基因:0.1347327035737931	色的玉:0.11789111562706896	
王大陆:0.14226591183279055	拜托了:0.07113295591639528	托了冰:0.07113295591639528	
玉米块:0.04376327022908907	小火煲:0.04376327022908907	切小块:0.03242960844972814	
小香葱:0.025229108006933825	和胡萝:0.017256619662846952	胡萝卜:0.016382929796839127	
小姐姐:0.14308675526277778	的紧身:0.08679321670256432	色的紧:0.05207841586477796	
我愿意:0.019491944035163054	愿意成:0.01753063841421263	意成为:0.01753063841421263	
核心机:0.08899318796940578	发动机:0.07773622599521875	加力推:0.06303476994229629	
按摩的:0.04171545581344503	头部按:0.03905259729048505	部按摩:0.03469686040784636	
最终幻:0.13810102116313794	终幻想:0.13810102116313794	幻想1:0.10357887317640266	
孩子的:0.027631557043505034	这个孩:0.021726948711787937	个孩子:0.016699799726135577	
Fin:0.1580228785716841	ndX:0.14922852422706293	ind:0.13185154226004417	
水原希:0.15667027016122342	原希子:0.15667027016122342	黄鹤楼:0.12185603559386232	
奇女侠:0.10955130607130482	神奇女:0.10512391486967958	尔·加:0.04932534447717693	
血压高:0.15332071094335814	压高多:0.0728973529944923	高多吃:0.0728973529944923	
独立防:0.04088590667951959	立防务:0.04088590667951959	欧之间:0.02725727111967973	
16V:0.10300712923134782	16A:0.044933721030079005	6V战:0.04120285169253913	
洗涤用:0.049586358017310664	涤用品:0.049586358017310664	洗衣粉:0.04635115191971563	
神雕侠:0.09804671539052016	雕侠侣:0.09804671539052016	陈晓版:0.05244507774258487	
Sha:0.09262678498055718	har:0.09262678498055718	arp:0.09262678498055718	
的炸鸡:0.060629716608206895	炸鸡腿:0.060629716608206895	①翅根:0.060629716608206895	
粒进球:0.07685605835318723	射手榜:0.061582724840319014	中超联:0.05489984794146163	
王宝强:0.18004931907056998	德华警:0.0225155251405836	华警告:0.0225155251405836	
当地人:0.06499875953156359	好多的:0.059753456866329366	吃货们:0.047708140924246405	
高秋梓:0.033719561825384735	sun:0.03235682415750885	nee:0.03124338641016818	
公司食:0.04335932070269163	司食堂:0.04335932070269163	食堂吃:0.040530390643420976	
顾宇峰:0.12043910494742206	王杰希:0.09635128395793766	微草战:0.07226346296845323	
堡垒之:0.13317283694108914	垒之夜:0.13317283694108914	最终皮:0.08878189129405942	
性水果:0.08899318796940578	乳期妈:0.08318692762129688	期妈妈:0.08318692762129688	
直升机:0.12084107024684221	放军坦:0.10187607055743497	军坦克:0.10187607055743497	
奇异博:0.09268876442815352	异博士:0.09268876442815352	605:0.08941578132009849	
教务部:0.03465265475680214	中国农:0.03465265475680214	第四轮:0.03239178131399102	
和平奖:0.04871631288353156	罗斯福:0.04871631288353156	老罗斯:0.0417559518132987	
夫·琼:0.08835929794336671	DC娱:0.08835929794336671	C娱乐:0.08835929794336671	
枕上书:0.06502754663357523	这部作:0.06014352262900448	部作品:0.05137213918952248	
Blu:0.074158918438472	ay封:0.074158918438472	y封面:0.074158918438472	
内存卡:0.10926523958645896	手机内:0.040972911192897504	的内存:0.03829967973514039	
网约车:0.08080105907199611	马云的:0.04488947726222006	约车行:0.04041981107213793	
仇者联:0.16540666226969425	者联盟:0.16298167739703684	复仇者:0.16069534084343887	
大筒木:0.28165629788537566	筒木浦:0.13810102116313794	木浦式:0.13810102116313794	
王九胜:0.19004893025784902	孙悟空:0.09502757243297372	饰演了:0.0738297453570895	
料理机:0.09628654506445501	小怪兽:0.08240570338507826	怪兽料:0.06867141948756521	
防弹衣:0.15171157833504115	的防弹:0.02936521781603741	穿防弹:0.020943229291682783	
沈梦辰:0.15894952099644108	梦辰的:0.06214608098422191	杜海涛:0.05521460917862246	
腹痛是:0.03511253575608538	拨打1:0.03282165789527426	打12:0.03282165789527426	
生物钟:0.09118140559757713	物钟的:0.03135891246463838	衰老时:0.01710260148685787	
伤心凉:0.07268605631914594	心凉粉:0.07268605631914594	的凉粉:0.048434255171487625	
面试官:0.14546533175976822	求职者:0.0565715775199372	求职方:0.04040738185594109	
的房子:0.0894025255510215	个房子:0.04478868056532873	拍节目:0.03358995677197194	
关键因:0.04547397132817821	键因素:0.04547397132817821	白衬衫:0.03241649704876925	
治疗方:0.02853557134220916	疗方案:0.028225708212111802	人工智:0.0253255911558223	
自动化:0.029826255570866298	Cre:0.02623807539153849	ato:0.021599734308781735	
陈亦飞:0.15210874781698155	谭维维:0.14218458383092614	的谭维:0.06519123895244879	
周渝民:0.07201641475167728	组CP:0.04801462414173009	女君纪:0.0450310502811672	
静脉血:0.11766785362056233	脉血栓:0.10187607055743497	高凝状:0.04074918530135431	
丧尸模:0.07466851630254262	尸模式:0.07466851630254262	黑色行:0.047864911574047715	
智能农:0.06583134358658627	物联网:0.05612507586384335	能农业:0.05266880363412807	
赵丽颖:0.08587845183306256	扶摇:0.06567709127005418	知否:0.06033763002758105	
周杰伦:0.12715961679715287	好莱坞:0.09019720012367533	找到资:0.04971686478737753	
城中村:0.04397843621077279	天河区:0.03849949716972547	▲店面:0.03299956900262183	
国新说:0.0854292568155581	新说唱:0.0854292568155581	潘玮柏:0.08119860425808219	
小火翻:0.06888481757914375	火翻炒:0.060665478312063904	用小火:0.05725414429693069	
救护车:0.15088668003041655	范玮琪:0.13451519229034833	捐救护:0.080709115374209	
郑希怡:0.09139202669539674	吃乳酪:0.09139202669539674	鬼马小:0.09139202669539674	
自我控:0.041162491142663044	我控制:0.041162491142663044	棉花糖:0.03088660224915829	
俄罗斯:0.09490357800992115	洲际导:0.07344095166848573	际导弹:0.07344095166848573	
西红柿:0.045975511500473056	盐少许:0.04591646899294244	土豆片:0.036231624830588595	
尼帕病:0.11197480871737103	帕病毒:0.11197480871737103	病毒是:0.02799680948339197	
命中率:0.07456847735889674	季后赛:0.05747305213994239	中率2:0.04798920373601616	
的油条:0.04184917093477503	二次发:0.04184917093477503	次发酵:0.04184917093477503	
材比我:0.06004554344695521	比我好:0.06004554344695521	散了吧:0.06004554344695521	
五花肉:0.023348212842959626	胡萝卜:0.014877797632680984	炒匀均:0.014007726653843618	
四大名:0.07487359836979056	大名著:0.07487359836979056	名著的:0.03743679918489528	
5ml:0.06054222595203356	10m:0.05192381847157656	界杯的:0.04982537651501773	
红斑狼:0.14919409661882155	斑狼疮:0.14919409661882155	性红斑:0.09181462004608945	
预产期:0.10459942868359438	次月经:0.10328678659577681	末次月:0.08607232216314735	
杜特尔:0.14457214159994522	特尔特:0.14457214159994522	菲律宾:0.06944964311741167	
包贝尔:0.1238625468394757	胖子行:0.039754848005606754	子行动:0.039754848005606754	
驱逐舰:0.08415487997874639	055:0.08408080685720629	55驱:0.07666906918616455	
56A:0.13136438598444827	056:0.12279366452925793	A护卫:0.12279366452925793	
艾迪德:0.05902634771881397	索马里:0.037457590866777475	游骑兵:0.03372667815013723	
该导弹:0.09062762989929081	导弹的:0.050296544201478076	的导弹:0.041347055467680215	
周杰伦:0.16909579875338057	谢霆锋:0.15835728732161455	奶茶给:0.13222821651012895	
魏焌皓:0.07958427130839457	TVB:0.07454000359184444	使徒行:0.03856740451126779	
赵一涵:0.12229988737508123	赵本山:0.08763946756007106	短视频:0.021249203995124737	
农民工:0.12739450577758663	民工子:0.10902908447871892	工子女:0.10902908447871892	
沙赞:0.13887163256734228	正式杀:0.06490555463077863	式杀青:0.06490555463077863	
是有着:0.045463402150438474	的实力:0.04311063949914856	转魄和:0.03511253575608538	
戛纳电:0.042171861679366096	纳电影:0.042171861679366096	小偷家:0.041541181523735614	
零一科:0.030072488588264983	一科技:0.030072488588264983	科技节:0.030072488588264983	
生理期:0.05240427891562285	bab:0.029310060554189818	aby:0.02888035323475493	
Fac:0.14685079462381148	ceb:0.14685079462381148	boo:0.14685079462381148	
大口爽:0.14123939825284113	天天向:0.10985562735580907	天向上:0.10985562735580907	
王宝强:0.14990214245904213	的王宝:0.03504655966056453	了王宝:0.028121101645360413	
跑男团:0.058096049924199214	录制节:0.04088590667951959	制节目:0.04088590667951959	
将排骨:0.054228670266832035	糖醋排:0.03253968800333859	醋排骨:0.03253968800333859	
心肌病:0.06432464033174723	Tit:0.047305596845189715	iti:0.04033079179416365	
服装设:0.03225381603081117	装设计:0.026552018252623686	初学者:0.023880318469754212	
研究生:0.1402654727029105	250:0.06273902283342453	月薪2:0.06168619998493867	
线城市:0.08796443195291169	二线城:0.0683556861631346	深圳的:0.03196190473270778	
消化不:0.09741766390663006	化不良:0.08114770384729617	中老年:0.04668347431665475	
孙越家:0.03046400889846558	越家属:0.03046400889846558	办完后:0.03046400889846558	
拼多多:0.09895629004601067	一季度:0.039771751425028236	财经记:0.02196242501982402	
骑士队:0.03973738024911027	202:0.03863232841258714	的合同:0.03621235302976726	
动画版:0.037729317967188564	真人版:0.031607496788575266	内地男:0.025287240352479895	
木姜子:0.22354566790834463	的木姜:0.037256575550041034	它的美:0.02089548733615956	
炒几下:0.02258135718629697	1:0.020204427700172948	2:0.020131029536401435	
航空母:0.08879979906334508	空母舰:0.08879979906334508	号航空:0.0462926157251469	
专业课:0.03758594977925741	教养课:0.03758594977925741	选修课:0.03132162481604784	
吴宣仪:0.14306293603626719	同款w:0.13810102116313794	款wi:0.13810102116313794	
老公做:0.04061867853128744	公做了:0.04061867853128744	禾花鱼:0.04061867853128744	
广西美:0.11951312834075715	西美食:0.11951312834075715	到夏至:0.03983563791088624	
液倒入:0.04893382416697633	牛奶蛋:0.04893382416697633	奶蛋液:0.04893382416697633	
玛约莉:0.09025475341338549	电脑程:0.03438542660856998	脑程序:0.03438542660856998	
72M:0.1317931939432394	2M4:0.08617175589272211	T:0.05211963090909746	
潘粤明:0.15820641967950694	艺考之:0.01780485220197958	考之路:0.01780485220197958	
好评率:0.08638195626596959	安兔兔:0.04620561121176899	好评榜:0.04620561121176899	
吃韭菜:0.038760510709859204	韭菜炒:0.036231624830588595	吃还能:0.025840340473239472	
heh:0.01937714805088039	涮羊肉:0.01937714805088039	Tre:0.01811290784379914	
蓝菲琳:0.2126701037361058	回忆剧:0.18903594913780622	忆剧组:0.18903594913780622	
女老师:0.0724747596437996	男老师:0.06794431034004982	男教师:0.03170693051815002	
que:0.02335275482106239	的班长:0.018737043416742906	大秤砣:0.018737043416742906	
黄圣依:0.09129375614491192	大麟子:0.066785290405338	遥控器:0.03917067484435507	
中的新:0.0851339163402856	的新功:0.0851339163402856	新功能:0.0851339163402856	
本山大:0.06384888360318959	他的女:0.06384888360318959	女儿球:0.042563850866093586	
陈伟霆:0.06790285060304857	风暴舞:0.0454274981842557	董岩磊:0.042526563217503054	
会匹配:0.07268605631914594	匹配其:0.07268605631914594	配其他:0.07268605631914594	
家制度:0.02362793999020117	国家制:0.022086361649173936	渡边先:0.019694093063899923	
吕良伟:0.10382124289224112	666:0.0854678259977517	吴佩慈:0.05545988812852803	
